wkt_geom;nodeid;name;tlc;node_id
Point (360226 172686);54;;;railn_54
Point (359628 171880);55;;;railn_55
Point (360799 172603);208;;;railn_208
Point (360909 172569);209;;;railn_209
Point (360684 172950);210;;;railn_210
Point (358604 172271);3916;;;railn_3916
