,Number,xcoord,ycoord,Name,TLC
248,248,334445.0,161460.0,Weston Milton,WNM
249,249,536713.86,169864.66,,
250,250,224836.0,59158.0,Causeland,CAU
251,251,225152.0,60954.0,St Keyne,SKN
252,252,299991.0,81172.0,Exmouth,EXM
253,253,547288.0,179033.0,Abbey Wood,ABW
254,254,223994.0,63329.0,,
255,255,223928.0,63499.0,Coombe,COE
256,256,433298.0,95443.0,Lymington Pier,LYP
257,257,432767.0,95769.0,Lymington Town,LYT
258,258,532979.0,180187.0,London Bridge,LBG
259,259,416370.0,433447.0,Bradford Forster Square,BDQ
260,260,354034.0,184768.0,Severn Beach,SVB
261,261,525098.0,409833.0,,
262,262,527501.0,410332.0,Grimsby Docks,GMD
263,263,457511.0,339209.0,Nottingham,NOT
264,264,323388.0,389804.0,Meols,MEO
265,265,538525.0,184421.0,,
266,266,526227.0,198188.0,Hadley Wood,HDW
267,267,380939.0,432029.0,,
268,268,529345.0,176285.0,,
269,269,630278.0,139525.0,,
270,270,328330.0,390817.0,,
271,271,328380.0,390823.0,Bidston,BID
272,272,507772.0,429152.0,,
273,273,569172.0,152843.0,Wateringbury,WTR
274,274,400125.0,296410.0,,
275,275,502960.0,422533.0,Barton-on-Humber,BAU
276,276,528947.0,178896.0,Victoria (London),VIC
277,277,474437.0,423777.0,Goole,GOO
278,278,547922.0,291119.0,Manea,MNE
279,279,519819.0,178352.0,Gunnersbury,GUN
280,280,358604.0,172271.0,,
281,281,534920.0,180231.0,Wapping,WPE
282,282,535181.0,179837.0,Rotherhithe,ROE
283,283,535435.0,179505.0,Canada Water,ZCW
284,284,535551.0,179044.0,Surrey Quays,SQE
285,285,535966.0,178801.0,Canal Junction (New Cross),
286,286,536289.0,177668.0,Rolt Street Junction,
287,287,535657.0,178247.0,Surrey Quays Silwood Junction,
288,288,535264.0,177434.0,Old Kent Road Junction,
289,289,447418.818630911,342698.139026112,Ilkeston,ILN
290,290,526302.938008766,176676.814652473,Imperial Wharf,IMW
291,291,424943.081039282,436435.618001856,Kirkstall Forge,KLF
292,292,536174.978034684,187121.557225436,Lea Bridge,LEB
